Åarjelsaemien gïele	Nöörjen gïele	Sveerjen gïele	Synonyjme	Baakoen definssjovne saemien gïelesne/Åarjelsaemien jiehtegh	Baakoen definisjovne daaroen gïelesne/Daaroen jiehtegh	Baakoe-tjïerte	Baakoen syjjehtimmie	Baakoen gaaltije	Statuse	Midgard	Siebr.	Kapittel	Side	
jieliemasse	tilværelse	tillvaro		Dah nillede-bielien vöölkin ihke buerebe jielemassem åadtjodh.	De for over for å skape seg en bedre tillværelse.	substantiv	jieliemasse, jielemassese	Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 66	
almetje-jeananimmie	befolkningsvekst	befolkningsökning				sammensatt substantiv av almetje + jeananimmie	almetje-jeananimmie, almetje-jeananæmman	Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 65	
staaten-årroje	statsborger	statsmedborgare				sammensatt substantiv av staaten + årroje	staaten-årroje, staaten-årrojasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 66	
staaten-årroedahke	statsborgerskap	medborgarskap				sammensatt substantiv av staaten + årroedahke	staaten-årroedahke, staaten-årroedahkese	Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 66	
faamoe-garse	drivkraft	drivkraft		Fuersieh lin namhtah faamoe-garsh.	Fossene ga gratis drivkraft.	sammensatt substantiv av faamoe + garse	faamoe-garse, faamoe-garsese	Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 69	
bïgkeme	utbygging	utbyggnad		Bïgkeme ruevtie-raajroste.	Utbyggingen av jernbanen.	substantiv av bïgkedh	bïgkeme, bïgkemasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 71	
beetneh-guntie	pengehushold	pengahushåll				sammensatt substantiv av beetneh + guntie	beetneh-guntie, beetneh-gåntan	Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 71	
dïeske	transportmiddel	transportmedel				substantiv	dïeske, dïeskese	Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 72	
vuestelen	tvert imot	tvärt emot		Vuestelen, jis akte barkije idtji håajsoeh barkedh dillie dam tjïektjestin.	Tvert imot, en arbeider som ikke kunne arbeide fikk sparken.	frase		Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 73	
barkohts-maaksoe	arbeidsledighetstrygd	arbetslöshetsförsäkring				sammensatt substantiv av barkohts + maaksoe		Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 73	
tjaalege	bønneskrift	uppmaning		Barkoe-siebrieh tjaalegem reerenassese geelkin.	Arbeiderforeningene overrakte et bønneskrift til regjeringen.	substantiv	tjaalege, tjaalegasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 78	
paantjije	pakkare, pakkerske	packare, packerska				substantiv av paantjedh	paantjije, paantjijasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Samfunnet forandres	side 79	
sjugniehtehtedh	hva som er i ferd med å skje	vad som är i färd på att hända		Eah dah guarkah mij sjugniehtahta.	De er ikke klar over hva som er i ferd med å skje.	verb av sjugniehtidh	sjuegniehtehtedh, sjuegniehtahta, sjuegniehtehti, sjuegniehtahteme	Elgå ref. gruppe	Til godkjenning		Geografi 8	Tsunamien	side 38	
ij goh unnemes  	ikke minst 	inte minst		Ij goh unnemes skïemtielassh geerestidh såelsine laanestidh.	Ikke minst for å hindre at sykdommer skulle bre sig med forurenset drikkevann.	uttykk		Elgå ref. gruppe	Til godkjenning		Geografi 8	Tsunamien	side 41	
daaste-baakoe	stikkord	nyckelord				sammensatt substatntiv av daaste + baakoe	daaste-baakoe, daaste-baakose	Elgå ref. gruppe	Til godkjenning		Geografi 8	Signal	side 9	
Rocky Mountains	Rocky Mountains	Klippiga bergen		vaerie	fjell	substantiv	Rocky Mountains, Rocky Mountainsidie	Elgå ref. gruppe	Til godkjenning					
protestantiske	protestantisk	protestantisk		Luthere gïrredi jïh dan åvteste dam protestantiske gærhkoem tseegkesovvi.	Luthers protest ble utgangspunktet for opprettelsen av den protestantiske kirken.	adjektiv		Elgå ref. gruppe	Til godkjenning	Historie 7		Renessanse	side 45	
jieleme-ïebnh	næringsstoff, næring	näringsämnen, næring	jieleme-eebnh	Dygke-sjædtoe/Dågka-sjædtoe jïjnjh jieleme-eebnh daarpesje.	Tobakksplanten krever mye næring.	sammensatt substantiv av jieleme + ïebne	jieleme-Ïebnh, jieleme-Ïebnese	Elgå ref. gruppe	Til godkjenning	Samfunn 7		Rus	side 207	
negatijve	negativ	negativ						Elgå ref. gruppe	Til godkjenning				side 14	
positijve	positiv	positiv						Elgå ref. gruppe	Til godkjenning					
laessie-guelpie	lasteplan	lagergolv	leessjeme-guelpie			sammensatt substantiv av laessie + guelpie	laessie-guelpie, laessie-gualpan	Elgå ref. gruppe	Til godkjenning		Samf 8	Makt	side 34	
organisasjovne	organisasjon	organisation				substantiv	organisasjovne, organisasjovnese	Elgå ref. gruppe	Til godkjenning		Samf 8	Makt	side 36	
privatiseredidh	privatisere	privatisera				verb	privatiseredidh, privatiserede, privatiseredi, privatiseredamme	Elgå ref. gruppe	Til godkjenning		Samf 8	Makt	side 51	
laakehts faamoe	uformell makt	informell makt						Elgå ref. gruppe	Til godkjenning		Samf 8	Formell makt	side 54	
eejehtimmese gåetie	fritidsklubb	fritidsklubb				sammensatt substantiv av eejehtimmese + gåetie	eejehtimmese-gåetie, eejehtimmese-gåatan	Elgå ref. gruppe	Til godkjenning		Samf 8	Formell makt	side 57	
baenie-healsoe	tannhelsetjeneste	tandhälsovård				sammensatt substantiv av baenie + healsoe	baenie-healsoe, baenie-healsose	Elgå ref. gruppe	Til godkjenning		Samf 8	Formell makt	side 57	
båeriesalmetje-gåetie	aldershjem	äldreboende				sammensatt substantiv av båeriesalmetje + gåetie	båeriesalmetje-gåetie, båeriesalmetei-gåatan	Elgå ref. gruppe	Til godkjenning		Samf 8	Formell makt	side 57	
vollytjengkere	vollyball	vollyboll	vollyravra			substantiv	vollytjengkere, vollytjengkerasse	Elgå ref. gruppe	Til godkjenning		Samf 8	Formell makt	side 60	
beetneh-tjåenghkie	pengebeløp	penningsumma				sammensatt substantiv av beetneh + tjåenghkie	beetneh-tjåenghkie, beetneh-tjåanghkan	Elgå ref. gruppe	Til godkjenning		Samf 8	Formell makt	side 60	
liktedh	å kompromisse	kompromissa		Dïhte jeahta tjeahta liktedh.	Det heter å inngå  kompromisser.	verb	liktedh, lækta, likti, likteme	Elgå ref. gruppe	Til godkjenning		Samf 8	Partier, medier	side 70	
liktedh	megle	mäkla				verb	liktedh, lækta, likti, likteme	Elgå ref. gruppe	Til godkjenning		Samf 8	Partier, medier	side 71	
likte-mierie	meglingsfrist	mäklingsfrist		Likte-mierie lea gaske-jijjen.	Meglingsfristen går ut ved midnatt.	sammensatt substantiv av liktije av liktedh + biejjie	likte-mierie, likte-mearan	Elgå ref. gruppe	Til godkjenning		Samf 8	Partier, medier	side 71	
dåehkie	part 	part 		Dåehkieh  leah guhkede sinsitneste. 	Partene står langt fra hverandre.	substantiv	dåehkie, dåahkan	Elgå ref. gruppe	Til godkjenning		Samf 8	Partier, medier	side 71	
organisasjovnesne meatan årrodh	være organisert	vara organiserad				frase		Elgå ref. gruppe	Til godkjenning		Samf 8	Partier, medier	side 71	
laante-organisasjovne	Landsorganisasjonen (LO)	Landsorganisationen (LO)				sammensatt substantiv av laante + organisasjovne	laante-organisasjovne, laante-organisasjovnese	Elgå ref. gruppe	Til godkjenning		Samf 8	Partier, medier	side 72	
saernie-sïelte	nyhetsbyrå	nyhetsbyrå	saernie-sïelske			sammensatt substantiv av saernie + sïelte	saernie-sïelte, saernie-sealtan	Elgå ref. gruppe	Til godkjenning		Samf 8	Partier, medier	side 74	
modelle	modell	modell		Dïhte tjaebpies goh modelle sjædta.	Hun blir pen som en modell.	substantiv	modelle, modellese	Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 82	
gåhkalidh	bli oppgitt, resignere	bli trött, uppgiven, resignerad		Dannasinie manne gåhkalim.	Derfor ble jeg litt oppgitt.	verb	gåhkalidh, gåhkele, gåhkali, gåhkalamme	Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 84	
surme-mierie laake	angrefristlov	lagen om ångertid				frase		Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 84	
sïejhmehts	unormal	onormalt		Dïhte sïejhmehts nipkemen gaavhtan.	Det skyldes unormal slitasje.	adjektiv av sïejhme		Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 86	
gåetie-guntege	miksmaster	hushållsassistent				substantiv av gåetie-guntie	gåetie-guntege, gåetie-guntegasse	Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 90	
jååskedahke	kjøleskap	kylskåp				substantiv av jueskie	jååskedahke, jååskedahkese	Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 91	
gilmetahke	fryser	frys					gilmehtahke, gilmehtahkese	Elgå ref. gruppe	Til godkjenning					
påaste-mïerhke	porto	porto				substantiv	påaste-mïerhke, påaste-mearhkan	Elgå ref. gruppe	Til godkjenning					
dorjemasse	nyhet, ny produkt, teknisk nyvinning	nyhet, ny produkt, teknisk nyhet				substantiv	dorjemasse, dorjemassese	Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 96	
tïjje-raajroe	tidslinje	tidslinje				sammensatt substantiv av tïjje + raajroe	tïjje-raajroe, tïjje-raajrose	Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 97	
åesteme-tjibrenassh	kjøpepress	köptvång				sammensatt substantiv av åesteme + tjibrenassh av tjabrehtidh	åesteme-tjibrenassh, åesteme-tjibrenasside	Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 101	
væjjohke-tjibrenassh	motepress	modepress				sammensatt substantiv av væjjohke + tjibrenassh	væjjohke-tjibrenassh, væjjohke-tjibrenasside	Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 104	
båastoeh	retur	retur				substantiv	båastoeh, båastojde	Elgå ref. gruppe	Til godkjenning					
båastoeh-påastemïerhke	returporto	returporto				sammensatt substantiv av båastoeh-påastemïerhke	båastoeh-påastemïerhke, båastoeh-påastemïerhkese	Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 114	
maarhna	marked	marknad				substantiv	maarhna, maarhnese	Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 114	
maarhnadoekeme-laake	markedsføringsloven	marknadföringslagen	maarhnadoekeme-laake			sammensatt substantiv av maarhna + doekeme + laake	maarhnadoekeme-laake, maarhnaedoekeme-laakese	Elgå ref. gruppe	Til godkjenning		Samf 8	Forbruk	side 114	
geatskanidh	zoome inn	zoma in		Gåarede geatskanidh jïh unne-biehkide vuartasjidh.	Det er mulig å zoome inn og se detaljer.	verb	uttrykk	Elgå ref. gruppe	Til godkjenning		Geografi 8	Kartet	side 6	
dubpiedidh	zoome ut	zoma ut				verb	dubpiedidh, dubpede, dubpiedi, dubpiedamme	Elgå ref. gruppe	Til godkjenning		Geografi 8	Kartet	side 6	
væptehke	det er lurt	det är klokt	væjsehke	Gåessie geografijine barka dellie væptehke  veartene-kaarhtem åejjesne utnedh.	Det er lurt å ha et enkelt verdenskart i hodet når en arbeider med geografi. 	adverb	væptehke, væptahkåbpoe, väptiehkommes	Elgå ref. gruppe	Til godkjenning		Geografi 8	Kartet	side 7	
geografiske	geografisk	geografisk	eatneme-learoen mietie	Eejnegen geografiske nommh jijhtieh mejtie byörh kaarhtese bïejedh.	Det dukker stadig opp geografiske navn du bør kunne plassere på kartet.	adjektiv av geografije		Elgå ref. gruppe	Til godkjenning		Geografi 8	Kartet	side 7	
måekie-dajve	nedbørsfelt	nederbördsområde		Akte måekie-dajve lea dïhte eatnemen bijjie-skierien lehkie gåabph tjaetsie seamma tjaetsie-straajman galka.	Et nedbørsfelt er den delen av landoverflaten der vannet renner inn til et og samme vassdrag.	sammensatt substantiv av måekie + dajve	måekie-dajve, måekie-dajvese	Elgå ref. gruppe	Til godkjenning		Geografi 8	Kartet	side 14	
observatorije	observatorium	observatorium		Jaepien 1667 Parisen observatorijem bigkin.	Paris-observatoriet ble bygget i 1667.	substantiv	observatorije, observatorijasse	Elgå ref. gruppe	Til godkjenning		Geografi 8	Kartet	side 19	
jalloe-sïeve	høydekurve	höjdkurva	jolle-sïeve, jïlle-sïeve	Jalloe-sïevh mieriej tjïrrh gyöseme mah seamma jolledahkesne mearoen bijjelen.	Høydekurvene er tegnet gjennom punkter som ligger like høyt over havet.	sammensatt substantiv av jolle + sïeve	jalloe-sïeve, jalloe-sïevese	Elgå ref. gruppe	Til godkjenning		Geografi 8	Kartet	side 21	
jalloe-joekehtse	høydeforskjell	höjdskillnad	jalla-joekehtse, jille-joekehtse, jolle-joekehtse	Jalloe-joekehtse göökte gåeviej gaskem ekvidistansine gohtje.	Høydeforskjellen mellom to kurver kalles ekvidistansen.	sammensatt substantiv av jalloe + joekehtse	jalloe-joekehtse, jalloe-joekehtsasse	Elgå ref. gruppe	Til godkjenning		Geografi 8	Kartet	side 21	
almetje mij tjarke båvvasamme	en ille skadd person	en illa skadad person		Tjiehtieh almetjem mij båvvasamme stasjovnese saehtedh.	En skadd person må fraktes til stasjonen.	uttykk		Elgå ref. gruppe	Til godkjenning		Geografi 8	Kartet	side 22	
restiedidh	passere grensen	passera gränsen		Goese Svöörjese restiedi ajve 2000 jaepien gietjeste.	Grana passerte svenskegrensen for bare 2 000 år siden.	frase		Elgå ref. gruppe	Til godkjenning		Geografi 8	Hvordan naturlandskapet er blitt til	side 84	
sijse juhtedh	innvandre	invandra				frase		Elgå ref. gruppe	Til godkjenning		Geografi 8	Hvordan naturlandskapet er blitt til	side 84	
sijs-juhtije	innvandrer	invandrare						Elgå ref. gruppe	Til godkjenning					
klyjhpeldahke	vann i kretsløpssystemet	vatten i kretsloppet		Sijjie gusnie tjaetsie klyjhpeldahkesne	Plass hvor vannet er i vannets kretsløp.	substantiv av klyjhpeldihkie moere	klyjhpeldahke, klyjhpeldahkese	Elgå ref. gruppe	Til godkjenning		Geografi 8	Vann	side 130	
byjrestahke	kretsløp	kretslopp				substantiv	byjrestahke, byjrestahkese	Elgå ref. gruppe						
veartanisnie	på verdensbasis	på världsbasis		Veartanisnie  laante-burrieh mah jeenjemes tjaetsiem nuhtjieh.	På verdensbasis er det jordbruket som bruker mest vann.	frase	veartanisnie	Elgå ref. gruppe	Til godkjenning		Geografi 8	Vann	side 130	
veajkoej	tilfeldig	slumpmässigt	akti veajkoej	Dïhte veajkoej jallh lea mij-akt mij jeatjahtahta?  	Er det tilfeldig eller er det noe som forandrer seg?	adverb		Elgå ref. gruppe	Til godkjenning		Geografi 8	Vann	side 131	
gaatene-skaavhte	gatehjørne	gatuhörn	gaata-skaavhte, gaatoe-skaavhte			sammensatt substantiv av gaatene + skaavhtege	gaatene-skaavhte, gaatene-skaavhtese	Elgå ref. gruppe	Til godkjenning		Geografi 8	Vann	side 134	
skorkestimmie	gjødsel	gödsel				substantiv av skorkesjidh	skorkestimmie, skorkestæmman	Elgå ref. gruppe	Til godkjenning					
skorkesjimmie	kunstgjødsel	konstgödsel				sammensatt substantiv av skorkesjidh	skorkesjimmie, skorkesjæmman	Elgå ref. gruppe	Til godkjenning		Geografi 8	Vann	side 138	
daelvie-måekieh	vinternedbør	vinternederbörd				sammensatt substantiv av daelvie + måekieh	daelvie-måekieh, daelvie-måekide	Elgå ref. gruppe	Til godkjenning		Geografi 8	Istidene	side 90	
dielhtien-liekie	botnbre	bottenjökel		Dielhtien-liekieh leah vaerien liekesne.	Botnbreen ligger i forsenkninger i fjellsiden.	sammensatt substantiv av dielhtien + liekie	dielhtien-liekie, dielhtien-leakan	Elgå ref. gruppe	Til godkjenning		Geografi 8	Istidene	side 91	
liekie	forsenkning i fjell	försänkning i fjället		Dielhtien-liekieh leah vaerien liekesne.	Botnbreen ligger i forsenkninger i fjellsiden.	substantiv	liekie, leakan	Elgå ref. gruppe	Til godkjenning		Geografi 8	Istidene	side 91	
mearoe-laahpehtsh	havsavsetning	havsavlagring	sealhtie-laahpehts, haave-laahpehtsh	Dejtie gierkieh-smealhkomidie saelhtien-laahpehthsine gåhtjobe.	Vi kaller disse løsmassene for havavsetninger.	sammensatt substantiv av mearoe + laahpehtsh	mearoe-laahpehtsh, mearoe-laahpehthsasse	Elgå ref. gruppe	Til godkjenning		Geografi 8	Istidene	side 95	
rïehkedh	sveve i vann (om materie)	flyta i vatten (om materia)		Laejrie tjaetsesne rïeki.	Leira holdt seg svevende i vannet.	verb	rïehkedh,  reahka, rïehki, rïehkeme  	Elgå ref. gruppe	Til godkjenning		Geografi 8	Istidene	side 95	Til godkjenning
eatnemen bijjie-skierie	jordskorpeplate	jordskorpeplatta		Eatnemen bijjie-skierie sinsitniem bunhkiehtieh.	Jordskorpeplater støter mot hverandre.	frase		Elgå ref. gruppe	Til godkjenning		Geografi 8	Indre og ytre krefter	side 74	
aalkovistie	grunnleggende	grundläggande		Bïevneds-tijjen filosofh tuhtjin gaajhkesh muvhth åålmeh-reaktajgujmie aalkovistie reakadin.	Opplysningstidas filosofer mente at vi alle er født med noen grunnleggende menneskerettigheter.	frase  		Elgå ref. gruppe	Til godkjenning	Historie 7		Opplysningstida	side 49	
														
vïeredidh	skulptere	skulptera				verb	vïeredidh, vïerede, vïeredi, vïeredamme	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Egypt	side 10
vïereldahke	statue; skulptur	staty, skulptur				substantiv av vïeredidh	vïereldahke, vïereldahkese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Egypt	side 14
vïeredæjja	skulptør	skupltör				substantiv av vïeredidh	vïeredæjja, vïeredæjjese	Elgå ref. gruppe		Til godkjenning	Historie 5		Egypt	side 17
kleebjege	smykke	smycke		Kroeptine vaeknieh, kleebjegh jïh mööbelh gaavneme.	I gravene er det funnet smykker, våpen og møbler.	substantiv av kleebjedh	kleebjege, kleebjegasse	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Egypt	side 24
valkeds-okse	port, portal, stor inngang	port, portal, stor ingång	valkedh-okse, valkeldh-okse, valkeme-okse	Valkeds-oksen ålkolen lin njieljie jïeknge vïereldahkh.	Utenfor inngangen sto det fire kjempestore statuer.	substantiv	valkeds-okse, valkeds-oksese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Mesopotamia	side 26
taale-öörnege	tallsystem	talsystem		Dah aktem taale-öörnegem nåhtadin gusnie taalle 60 lij vihkeles.	De brukte et tallsystem hvor tallet 60 var viktig.	sammensatt substantiv av taale + öörnege	taale-öörnege, taale-öörnegasse	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Mesopotamia	side 26
laejrie-healla 	flis	kakelplatta		Laejrie-healline lin guvvieh fuemtijste.	På flisene var det bilder av draker.	sammensatt substantiv av laejrie + healla	laejrie-healla, laejrie-heallese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Mesopotamia	side 39
tjåadtjoehtimmie	sikkerhet	säkerhet	tjåadtjahtidh	Tjåadtjoehtimmiem veelelaakan krööhkeste 	Man er nøye med sikkerheten. (Sikkerhet for tyveri og innbrudd ved et museum.)	substantiv av tjåadtjoehtidh	tjåadtjoehtimme, tjåadjoehtæmman	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Hellas	side 40
slaavestidh	slave 	slava				verb av slaave	slaavestidh, slaaveste, slaavesti, slaavestamme	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Hellas	side 46
slaavestimmie	slaveri	slaveri				substantiv av slaavestidh	slaavestimmie, slaavestæmman	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Hellas	side 50
tjïeleds-dyjre	kjæledyr	keldjur	tjïeleds-kreeke	Tåarjesne maehtieji tjïeleds-dyjrh åestedh.	På torget kunne man få kjøpt kjæledyr.	sammensatt substantiv tjïeleds av tjïeledidh + dyjre	tjïeleds-dyjre, tjïeleds-dyjrese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Hellas	side 51
bråånse	bronse	brons		Vïereldahkide bråånseste leajhkoeji.	Statuene ble støpt i bronse.	substantiv	bråånse, bråånsese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Hellas	side 51
tragedije	tragedie	tragedi		Dejtie ovmurreds stuhtjide tragedijine gåhtjoejin.	De triste stykkene kalte de tragedier.	substantiv 	tragedije, tragedijese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Hellas	side 54
komedije	komedie	komedi		Dejtie lustes stuhtjide komedijine gåhtjoejin.	De muntre stykkene kalte de komedier.	substantiv	komedije, komedijese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Hellas	side 67
låhkoe	eksemplar	exemplar		Daaletje gærjah gelline låhkojne trygkesovveme.	Våre bøker er trykt i mange eksemplarer.	substantiv	låhkoe, låhkose	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 5		Romerriket	side 70
vuestehkh åadtjodh	få noen mot seg	få någon emot sig	gijhtse-nïere	Keejsere Nerove gellie vuestehkh åadtjoeji.	Keiser Nero fikk mange mot seg.	frase		Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 6		Middelalderen	side 94
fuelhkien-mïerhke	våpenskjold	vapensköld		Dah faamohks fuelhkieh fuelhkien-mïerhkh utniejin.	De mektige familiene hadde våpenskjold.	sammensatt substantiv av fuelhkien + mïerhke	fuelhkien-mïerhke, fuelhkien-mïerhkese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 6		Vikingtida	side 103
tjaavhkestidh	utvinne	utvinna		Almetjh lïerin ruevtiem tjaavhkestidh.	Folk lærte å utvinne jern.	verb	tjaavhkestidh, tjaavhkeste, tjaavhkesti, tjaavhkestamme	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 6		Vikingtida	
fjovle	fjord	fjord		Såålesne lin gïengeles fjovlh.	På øya var det dype fjorder.	substantiv	fjovle, fjovlese	Elgå ref. gruppe	Til godkjenning	Til godkjenning				side 129
tihtele	tittel	titel	nomme	Vadtaldahkine edtjin tihtelem åadtjodh.	De skulle få en tittel i belønning.	substantiv	tihtele, tihtelasse	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 6		Middelalderen i Norge	side 27
primitijve-almetjh	primitive folk	primitiva folk				sammensatt substantiv av primitijve + almetjh	primitijve-almetje, primitijve-almetjasse	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Oppdagelsesreisene	side 31
sjædtoestahke	plantasje	plantage		Sjædtoestahkine daarpehtin jïjnjh barkijh.	Plantasjene hadde stort behov for arbeidskraft.	substantiv av sjædtoe	sjædtoestahke, sjædtoestahkese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Oppdagelsesreisene	side 43
sjædtoestahke-aajhtere	plantasjeeier	plantageägare		Slaavide sjædtoestahke-aajhteridie doekin.	Slavene ble solgt til plantasjeeiere.	sammensatt substantiv av sjædtoestahke + aajhtere	sjædtoestahke-aajhtere, sjædtoestahke-aajhterasse	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Renessanse	side 79
iemie-almetjh	naturfolk	naturfolk		Utnin saemide goh urkies iemie-almetjh.	Samene ble sett på som et vilt naturfolk.	sammensatt substantiv av iemie + almetjh	iemie-almetjh, iemie-almetjidie	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Fra pest og krise til bedre tider	
primitijve	primitiv	primitiv 				adjektiv	primitijve	Elgå ref. gruppe		Til godkjenning				side 43
vuesiehtidh	demonstrere en vare	demonstrera en vara, visa				verb		Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Renessanse	side 44
jaahkoevoete	trosform	trosform		Dah keejserh tjoerin baajedh hïerride reaktoem åadtjodh jaahkoe-voetem veeljedh.	Keiserne måtte gi fyrstene rett til å velge trosform.	substantiv av jaahkoe	jaahkoe-voete, jaahkoe-voetese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Renessanse	side 47
jååhkesjidh 	undertegne, signere	underteckna, signera		Raeffiem jååhkesjin.	Freden ble undertegnet.	verb	jååhkesjidh, jååhkesje, jååhkesji, jååhkesjamme	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Renessanse	side 45
jååhkesjimmie	underskrift	underskrift		Prieviem jååhkesjamme.	Brevet har en underskrift.	substantiv av jååhkesjidh	jååhkesjimmie, jååhkesjæmman	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Renessanse	side 55
buerebe jeatjabistie årrodh	stå høyt hevet over andre	stå högt över andra		Dah buerebe jeatjabistie lin.	De står høyt hevet over andre mennesker.	frase		Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Opplysningstida	side 55
ïbje	pollen 	pollen 				substantiv	ïbje, ïbjese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Opplysningstida	side 55
ïbje-guedtije	pollenbærer	pollenbärare		Dïhte tjïertine juekieji mestie man gellie ïbje-guedtijh jïh gusnie dah lin.	Han delte i klasser basert på antall og plassering av pollenbærere.	sammensatt substantiv av ïbje + guedtije	ïbje-guedtije, ïbje-guedtijasse	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Opplysningstida	side 55
ïbje-dåastoje	griffel	pistill		Dah mah seamma tjïerteste vihth juekiji ïbje-dåastoji mietie.	Hos medlemmene i hver klasse sorterte han igjen i ordener etter antall grifler.	sammensatt substantiv av ïbje + dåastoje	ïbje-dåastoje, ïbje-dåastojasse	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Opplysningstida	side 73
tjïerte	(botanisk) klasse 	(botanisk) klass		Dïhte tjïertine juekieji mestie man gellie ïbje-guedtijh jïh gusnie dah lin.	Han delte i klasser basert på antall og plassering av pollenbærere.	substantiv	tjïerte, tjïertese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Fra pest og krise til bedre tider	side 80
tjïrre	trekull	träkol		Jïjnjh tjïrrh daerpies.	Det var behov for store mengder trekull.	substantiv	tjïrre, tjïrrese	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Fra pest og krise til bedre tider	side 83
arhkedh	torturere	tortera		Arhkemisnie nyjsenæjjah tjoerin mietedh dah  nååjtestalleminie.	Under tortur ble kvinnene tvunget til å innrømme at de drev med hekseri.	verb	arhkedh, arhka, arhki, arhkeme	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Fra pest og krise til bedre tider	
arhkeme	tortur	tortyr		Desnie arhkeme.	Der forekommer det tortur.	substantiv av arhkedh	arhkeme, arhkemasse	Elgå ref. gruppe	Til godkjenning	Til godkjenning				side 83
dååjrehtidh	bli utsatt for	bli utsatt för		Dah sïerredimmiem jïh daarjesjimmiem dååjrehtamme.	De har blitt utsatt for diskriminering og overgrep.	verb	dååjrehtidh, dååjrehte, dååjrehti, dååjrehtamme	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Fra pest og krise til bedre tider	side 83
daaresjimmie	overgrep	övergrepp		Daaresjimmie akte meadtoe.	Overgrep er et brudd.	substantiv av daaresjidh	daaresjimmie, daaresjæmman	Elgå ref. gruppe	Til godkjenning	Til godkjenning	Historie 7		Fra pest og krise til bedre tider	side 83
